lat,long,direction,speed,CI
40.441331,-111.622248,D,,
40.440713,-111.622147,D,,
40.440628,-111.622147,D,,
40.440542,-111.622141,D,0,
40.440459,-111.622133,D,0,
40.440379,-111.622121,D,0,
40.4403,-111.622105,D,1095,
40.440222,-111.622086,D,1752,
40.440146,-111.622066,D,2920,
40.440075,-111.622047,D,3504,
40.440007,-111.622028,D,4964,
40.439938,-111.622008,D,4672,
40.439871,-111.621986,D,4088,
40.439805,-111.621965,D,4088,
40.439736,-111.621943,D,4088,
40.439663,-111.621922,D,3796,
40.439584,-111.621903,D,3212,
40.439502,-111.621887,D,2920,
40.439418,-111.621876,D,1752,
40.439333,-111.621872,D,1168,
40.439248,-111.621872,D,0,
40.439166,-111.62188,D,0,
40.439088,-111.621894,D,0,
40.439017,-111.621913,D,0,
40.43896,-111.621944,D,0,
40.438916,-111.62199,D,0,
40.438886,-111.622051,D,0,
40.438874,-111.622122,D,0,
40.438884,-111.622196,D,0,
40.438917,-111.622264,D,0,
40.438962,-111.622316,D,0,
40.439007,-111.622355,D,0,
40.439049,-111.622394,D,0,
40.439093,-111.622435,D,0,
40.439137,-111.622478,D,0,
40.439176,-111.622522,D,0,
40.43921,-111.622564,D,0,
40.439236,-111.622598,D,0,
40.439256,-111.622638,D,0,
40.439278,-111.622673,D,0,
40.439301,-111.62271,D,0,
40.439318,-111.622746,D,0,
40.439343,-111.622792,D,0,
40.439359,-111.622833,D,0,
40.439387,-111.622883,D,0,
40.439408,-111.622931,D,0,
40.439429,-111.622976,D,0,
40.439442,-111.623015,D,0,
40.439455,-111.623042,D,0,
40.439462,-111.623064,D,0,
40.439474,-111.623078,D,0,
40.439486,-111.623084,D,0,
40.439504,-111.623096,D,0,
40.43952,-111.623113,D,0,
40.439532,-111.623128,D,0,
40.439547,-111.62315,D,0,
40.439553,-111.623171,D,0,
40.439558,-111.623195,D,0,
40.439573,-111.623222,D,0,
40.439597,-111.623256,D,0,
40.439614,-111.623287,D,0,
