lat,long,signal
38.82376,-111.147293,-115
38.823575,-111.147627,-115
38.751396,-111.388984,-115
38.751608,-111.388826,-115
38.751814,-111.388669,-115
38.752015,-111.388509,-115
38.752205,-111.388335,-115
38.752382,-111.388143,-115
37.727739,-111.769162,-114
37.727649,-111.769515,-114
37.722126,-111.780011,-114
37.7219,-111.780151,-114
37.72167,-111.780287,-114
37.721439,-111.780421,-114
37.721206,-111.780556,-114
37.720973,-111.78069,-114
37.720738,-111.780823,-114
37.720503,-111.780956,-114
37.720266,-111.781088,-114
37.720029,-111.781221,-114
37.719791,-111.781353,-114
37.719552,-111.781486,-114
37.719314,-111.781624,-114
37.719078,-111.781771,-114
37.718844,-111.78193,-114
37.718614,-111.782104,-114
37.718391,-111.78229,-114
37.718175,-111.782486,-114
37.717965,-111.782689,-114
37.717757,-111.782896,-114
37.717549,-111.783105,-114
37.717341,-111.783316,-114
37.717132,-111.783524,-114
37.716918,-111.783725,-114
37.716703,-111.783922,-114
37.716489,-111.784114,-114
37.716277,-111.7843,-114
37.716066,-111.784479,-114
37.715854,-111.784657,-114
37.715638,-111.78483,-114
37.715417,-111.784997,-114
37.715192,-111.785158,-114
37.714962,-111.785314,-114
37.714729,-111.785466,-114
37.714494,-111.785618,-114
37.714258,-111.785769,-114
37.714017,-111.785914,-114
37.713774,-111.786052,-114
37.713774,-111.786052,-114
37.602837,-111.965426,-114
38.752546,-111.387933,-114
38.752693,-111.387704,-114
38.752826,-111.387457,-114
38.752942,-111.387195,-114
38.75304,-111.386918,-114
38.753119,-111.38663,-114
38.753178,-111.386333,-114
38.753214,-111.386032,-114
38.753239,-111.385733,-114
38.753266,-111.385438,-114
38.753266,-111.385438,-114
37.591048,-110.000278,-113
37.417897,-110.356968,-113
37.417739,-110.357218,-113
37.417581,-110.357467,-113
37.417423,-110.357715,-113
37.417267,-110.357964,-113
37.417109,-110.358214,-113
37.416959,-110.358464,-113
37.41682,-110.358718,-113
37.416697,-110.358977,-113
37.416589,-110.359241,-113
